,Date,Home,homeGoals,Visitor,awayGoals
9,2008-10-10,Buffalo Sabres,2,Montreal Canadiens,1
32,2008-10-13,Chicago Blackhawks,2,Nashville Predators,3
36,2008-10-13,Toronto Maple Leafs,4,St. Louis Blues,5
46,2008-10-15,Montreal Canadiens,4,Boston Bruins,3
60,2008-10-17,New York Rangers,1,Toronto Maple Leafs,0
62,2008-10-18,Atlanta Thrashers,3,Buffalo Sabres,2
72,2008-10-18,St. Louis Blues,4,Chicago Blackhawks,3
73,2008-10-18,Tampa Bay Lightning,0,Minnesota Wild,1
74,2008-10-18,Washington Capitals,3,New Jersey Devils,4
77,2008-10-20,Boston Bruins,1,Pittsburgh Penguins,2
81,2008-10-21,Buffalo Sabres,3,Boston Bruins,2
85,2008-10-21,Toronto Maple Leafs,2,Anaheim Ducks,3
89,2008-10-22,Philadelphia Flyers,6,San Jose Sharks,7
105,2008-10-25,Chicago Blackhawks,5,Detroit Red Wings,6
106,2008-10-25,Colorado Avalanche,2,Buffalo Sabres,1
112,2008-10-25,New York Rangers,3,Pittsburgh Penguins,2
122,2008-10-27,Los Angeles Kings,3,Detroit Red Wings,4
127,2008-10-28,Montreal Canadiens,3,Carolina Hurricanes,2
131,2008-10-28,Washington Capitals,4,Nashville Predators,3
134,2008-10-29,New Jersey Devils,5,Toronto Maple Leafs,6
147,2008-10-31,Anaheim Ducks,6,Vancouver Canucks,7
152,2008-11-01,Columbus Blue Jackets,3,Chicago Blackhawks,4
155,2008-11-01,Nashville Predators,3,Florida Panthers,2
159,2008-11-01,Tampa Bay Lightning,3,Ottawa Senators,2
179,2008-11-05,New Jersey Devils,4,Tampa Bay Lightning,3
188,2008-11-06,San Jose Sharks,5,St. Louis Blues,4
194,2008-11-07,Columbus Blue Jackets,4,Montreal Canadiens,3
200,2008-11-08,New York Islanders,3,Pittsburgh Penguins,4
212,2008-11-10,New York Rangers,2,Edmonton Oilers,3
216,2008-11-11,Los Angeles Kings,3,Dallas Stars,2
223,2008-11-12,Chicago Blackhawks,1,Boston Bruins,2
226,2008-11-12,Vancouver Canucks,1,Colorado Avalanche,2
232,2008-11-13,Pittsburgh Penguins,5,Philadelphia Flyers,4
241,2008-11-15,Edmonton Oilers,2,Colorado Avalanche,3
243,2008-11-15,Minnesota Wild,3,Columbus Blue Jackets,2
245,2008-11-15,New Jersey Devils,6,Washington Capitals,5
247,2008-11-15,New York Rangers,3,Boston Bruins,2
252,2008-11-16,Carolina Hurricanes,3,Tampa Bay Lightning,2
255,2008-11-16,St. Louis Blues,2,Montreal Canadiens,3
258,2008-11-17,New York Islanders,2,Vancouver Canucks,1
259,2008-11-17,New York Rangers,2,Ottawa Senators,1
264,2008-11-18,Phoenix Coyotes,2,Chicago Blackhawks,3
265,2008-11-18,Pittsburgh Penguins,1,Minnesota Wild,2
266,2008-11-18,Tampa Bay Lightning,3,Florida Panthers,4
277,2008-11-20,Ottawa Senators,2,Montreal Canadiens,3
287,2008-11-22,Dallas Stars,1,Anaheim Ducks,2
288,2008-11-22,Los Angeles Kings,3,Colorado Avalanche,4
290,2008-11-22,Montreal Canadiens,2,Boston Bruins,3
301,2008-11-24,Montreal Canadiens,3,New York Islanders,4
306,2008-11-25,Nashville Predators,0,St. Louis Blues,1
318,2008-11-26,Tampa Bay Lightning,2,New York Rangers,3
320,2008-11-27,Ottawa Senators,2,Toronto Maple Leafs,1
328,2008-11-28,Florida Panthers,3,New York Rangers,4
363,2008-12-03,New York Rangers,3,Pittsburgh Penguins,2
375,2008-12-05,Dallas Stars,2,Colorado Avalanche,1
376,2008-12-05,Los Angeles Kings,4,Edmonton Oilers,5
380,2008-12-06,Detroit Red Wings,5,Chicago Blackhawks,4
394,2008-12-07,Colorado Avalanche,5,Vancouver Canucks,4
413,2008-12-11,Columbus Blue Jackets,2,Nashville Predators,1
417,2008-12-11,Philadelphia Flyers,6,Carolina Hurricanes,5
423,2008-12-12,Calgary Flames,2,Florida Panthers,3
435,2008-12-13,New York Rangers,3,Carolina Hurricanes,2
438,2008-12-13,Phoenix Coyotes,4,Detroit Red Wings,5
444,2008-12-15,Los Angeles Kings,2,San Jose Sharks,3
453,2008-12-16,Toronto Maple Leafs,3,New Jersey Devils,2
462,2008-12-18,Dallas Stars,6,Columbus Blue Jackets,5
466,2008-12-18,Tampa Bay Lightning,1,Colorado Avalanche,2
470,2008-12-19,Edmonton Oilers,2,Anaheim Ducks,3
487,2008-12-21,New Jersey Devils,3,Philadelphia Flyers,2
508,2008-12-26,Florida Panthers,3,Tampa Bay Lightning,4
515,2008-12-27,Buffalo Sabres,4,New York Islanders,3
519,2008-12-27,Colorado Avalanche,4,Detroit Red Wings,3
524,2008-12-27,St. Louis Blues,3,San Jose Sharks,2
543,2008-12-30,Tampa Bay Lightning,1,Montreal Canadiens,2
558,2009-01-02,Anaheim Ducks,4,Philadelphia Flyers,5
559,2009-01-02,Atlanta Thrashers,4,Vancouver Canucks,3
566,2009-01-03,Los Angeles Kings,2,Philadelphia Flyers,1
567,2009-01-03,Minnesota Wild,2,Detroit Red Wings,3
579,2009-01-04,Montreal Canadiens,6,Florida Panthers,5
581,2009-01-04,Vancouver Canucks,2,Dallas Stars,3
594,2009-01-06,Washington Capitals,2,Philadelphia Flyers,1
609,2009-01-09,Buffalo Sabres,2,New York Rangers,1
623,2009-01-10,Phoenix Coyotes,1,Dallas Stars,0
646,2009-01-15,Dallas Stars,4,Buffalo Sabres,5
659,2009-01-16,Florida Panthers,2,Philadelphia Flyers,3
663,2009-01-17,Dallas Stars,3,Los Angeles Kings,2
667,2009-01-17,Ottawa Senators,4,Montreal Canadiens,5
675,2009-01-18,Vancouver Canucks,5,Columbus Blue Jackets,6
676,2009-01-19,Boston Bruins,4,St. Louis Blues,5
678,2009-01-19,Florida Panthers,2,Buffalo Sabres,3
691,2009-01-21,Calgary Flames,5,Columbus Blue Jackets,4
699,2009-01-21,Toronto Maple Leafs,3,Boston Bruins,4
746,2009-02-02,Detroit Red Wings,4,St. Louis Blues,3
754,2009-02-03,New York Rangers,1,Atlanta Thrashers,2
767,2009-02-05,Ottawa Senators,3,Boston Bruins,4
768,2009-02-05,San Jose Sharks,3,Carolina Hurricanes,4
769,2009-02-05,St. Louis Blues,1,Edmonton Oilers,2
782,2009-02-07,Ottawa Senators,3,Buffalo Sabres,2
790,2009-02-08,Minnesota Wild,3,Edmonton Oilers,2
798,2009-02-10,New York Islanders,3,Los Angeles Kings,4
808,2009-02-11,New York Rangers,5,Washington Capitals,4
809,2009-02-11,Pittsburgh Penguins,2,San Jose Sharks,1
813,2009-02-12,Nashville Predators,4,St. Louis Blues,3
817,2009-02-13,Buffalo Sabres,6,San Jose Sharks,5
821,2009-02-13,Florida Panthers,2,New York Rangers,1
826,2009-02-14,Los Angeles Kings,2,Edmonton Oilers,3
828,2009-02-14,Nashville Predators,3,Boston Bruins,2
835,2009-02-15,Detroit Red Wings,5,Colorado Avalanche,6
840,2009-02-16,Columbus Blue Jackets,2,Dallas Stars,3
841,2009-02-16,Los Angeles Kings,6,Atlanta Thrashers,7
843,2009-02-16,New York Islanders,3,Pittsburgh Penguins,2
847,2009-02-17,Calgary Flames,3,Vancouver Canucks,4
857,2009-02-18,Washington Capitals,4,Montreal Canadiens,3
865,2009-02-19,Phoenix Coyotes,4,Atlanta Thrashers,3
868,2009-02-19,Tampa Bay Lightning,2,New Jersey Devils,3
869,2009-02-19,Toronto Maple Leafs,3,Columbus Blue Jackets,4
876,2009-02-21,Edmonton Oilers,2,Calgary Flames,3
885,2009-02-21,Toronto Maple Leafs,2,Vancouver Canucks,3
897,2009-02-24,Minnesota Wild,1,Los Angeles Kings,2
906,2009-02-25,Toronto Maple Leafs,2,New York Rangers,1
908,2009-02-26,Carolina Hurricanes,2,Buffalo Sabres,1
913,2009-02-26,New York Islanders,4,Toronto Maple Leafs,5
984,2009-03-08,Washington Capitals,3,Pittsburgh Penguins,4
996,2009-03-10,Pittsburgh Penguins,4,Florida Panthers,3
1000,2009-03-11,Chicago Blackhawks,3,Carolina Hurricanes,2
1004,2009-03-12,Columbus Blue Jackets,4,Pittsburgh Penguins,3
1005,2009-03-12,Colorado Avalanche,2,Minnesota Wild,1
1007,2009-03-12,Detroit Red Wings,5,Calgary Flames,6
1018,2009-03-14,Buffalo Sabres,3,Atlanta Thrashers,4
1021,2009-03-14,Florida Panthers,3,Tampa Bay Lightning,4
1025,2009-03-14,Pittsburgh Penguins,3,Ottawa Senators,4
1026,2009-03-14,San Jose Sharks,2,Los Angeles Kings,1
1029,2009-03-14,Washington Capitals,5,Carolina Hurricanes,4
1040,2009-03-17,Edmonton Oilers,2,St. Louis Blues,1
1042,2009-03-17,Minnesota Wild,3,Colorado Avalanche,2
1043,2009-03-17,Montreal Canadiens,3,New York Rangers,4
1048,2009-03-17,Tampa Bay Lightning,3,Toronto Maple Leafs,4
1058,2009-03-19,Phoenix Coyotes,2,Anaheim Ducks,3
1059,2009-03-19,San Jose Sharks,3,Nashville Predators,2
1066,2009-03-20,Chicago Blackhawks,4,Edmonton Oilers,5
1076,2009-03-21,Tampa Bay Lightning,3,Atlanta Thrashers,4
1090,2009-03-24,Nashville Predators,1,Anaheim Ducks,2
1094,2009-03-24,Toronto Maple Leafs,3,Washington Capitals,2
1097,2009-03-25,Chicago Blackhawks,6,San Jose Sharks,5
1101,2009-03-26,Atlanta Thrashers,5,New York Rangers,4
1103,2009-03-26,Dallas Stars,0,Los Angeles Kings,1
1118,2009-03-28,Montreal Canadiens,3,Buffalo Sabres,4
1121,2009-03-28,New York Islanders,3,Philadelphia Flyers,4
1124,2009-03-28,St. Louis Blues,4,Columbus Blue Jackets,3
1156,2009-04-02,Vancouver Canucks,5,Anaheim Ducks,6
1169,2009-04-04,Nashville Predators,5,Columbus Blue Jackets,4
1171,2009-04-04,Ottawa Senators,4,Philadelphia Flyers,3
1193,2009-04-07,San Jose Sharks,1,Colorado Avalanche,0
1196,2009-04-08,Chicago Blackhawks,3,Columbus Blue Jackets,4
1201,2009-04-09,Colorado Avalanche,2,Dallas Stars,3
1202,2009-04-09,Detroit Red Wings,3,Nashville Predators,4
1204,2009-04-09,Ottawa Senators,2,New Jersey Devils,3
1209,2009-04-10,Anaheim Ducks,4,Dallas Stars,3
